Project ID,Building,Building ID,Level,GIA,Area,Actual start,Actual end,Actual duration,Worker-hours,Actual production rate,Labour productivity,Number of workers,Avg number of workers,Worker density,Cycle time,Planned start,Planned end,Planned duration,Planned production rate,Planned cycle time,Crane Asitha,Cranes,Pours,Batch area,Labour Issues,Level of Offsite Construction,Location and Logistical Issues,Supply Chain Issues,Design Complexity,Design Delays,Core,Columns,Beams,Slabs Asitha,Slabs,Frame
9,South Quay Plaza 1,L,30,836,2. Between 500 and 1000 m2,31/07/2018,13/08/2018,11,2984,76,0.28,27,5. Between 26 and 30,31,9,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,31,836,2. Between 500 and 1000 m2,10/08/2018,22/08/2018,10,2986,84,0.28,30,5. Between 26 and 30,28,7,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,32,836,2. Between 500 and 1000 m2,19/08/2018,05/09/2018,14,4365,62,0.19,32,6. Between 31 and 35,26,9,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,33,867,2. Between 500 and 1000 m2,31/08/2018,12/09/2018,11,3282,83,0.26,31,6. Between 31 and 35,28,8,,,,,,2.0,2.0,2,433,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,34,836,2. Between 500 and 1000 m2,09/09/2018,19/09/2018,9,3022,98,0.28,36,7. Between 36 and 40,23,6,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,35,836,2. Between 500 and 1000 m2,16/09/2018,28/09/2018,11,3804,80,0.22,36,7. Between 36 and 40,23,8,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,36,836,2. Between 500 and 1000 m2,26/09/2018,05/10/2018,9,3021,93,0.28,34,6. Between 31 and 35,25,7,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,37,836,2. Between 500 and 1000 m2,04/10/2018,15/10/2018,9,3181,93,0.26,35,6. Between 31 and 35,24,6,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,38,836,2. Between 500 and 1000 m2,11/10/2018,22/10/2018,9,3210,93,0.26,36,7. Between 36 and 40,23,7,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,39,836,2. Between 500 and 1000 m2,19/10/2018,29/10/2018,8,2917,105,0.29,36,7. Between 36 and 40,23,6,,,,,,2.0,2.0,2,418,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
